n. intervista,intervistato,top,estero,tema,data_intervista,nome_file,starter_id,clip_id,status,combinazione_colori,cover_titolo,check_length,sottopancia,parola_chiave_1,check_length,minutaggio_1,parola_chiave_2,check_length,minutaggio_2,parola_chiave_3,minutaggio_3,rough_edit,feedback_TODO,fine_edit,feedback_FGA,final_edit,tags,srt_starter,srt_clip,thumb
1,Massimo Russo,,,l'informazione,30-Aug,massimo_russo/01,kkBvWCjuJHg,UXzFzXgS_ws,approvato,Blu/verde,Informazione su misura,22,Giornalista,Che cosa è importante,21,,Un unico menù,13,,-,-,,,,,,informazione;giornalismo;immersivo;abitudini;personalizzato;tecnologia;tecnologia;ottimismo;digitale,,,img/thumbs/mrusso-thumb.png
1,Massimo Russo,,,l'informazione,30-Aug,massimo_russo/02,8aVOd7tBHOg,lYuXk5gk5eI,approvato,Magenta/ciano,News deejay,11,Giornalista,Selezionare,11,,Remixare,8,,-,-,,,,,,lavoro;social network;informazione;giornalismo;professioni del futuro,,,img/thumbs/mrusso-thumb.png
1,Massimo Russo,,,l'informazione,30-Aug,massimo_russo/03,A87iLi3oGqU,HJMxCGmQC0o,approvato,Rosso/giallo,Senza rumore,12,Giornalista,Miriade di schermi,18,,Fare gerarchia,14,,-,-,,,,,,informazione;giornalismo,,,img/thumbs/mrusso-thumb.png
2,Chiara Marletto,,,la fisica,25-Oct,chiara_marletto/01,,,standby,Blu/verde,Nuove sfide per la fisica,25,Fisica (TBC),Non vanno d'accordo,19,0'57'',Oggetti emergenti,17,1'28'',-,-,,,,,,fisica;ricerca;lavoro;professioni del futuro;innovazione,,,img/thumbs/cmarletto-thumb.png
2,Chiara Marletto,,,la fisica,25-Oct,chiara_marletto/02,,,standby,Magenta/ciano,"Molecole, iPhone e DNA",22,Fisica (TBC),Copia di informazione,21,2'35'',-,1,-,-,-,,,,,,intelligente;informazione;ricerca;fisica,,,img/thumbs/cmarletto-thumb.png
2,Chiara Marletto,,,la fisica,25-Oct,chiara_marletto/03,,,standby,Rosso/giallo,Il computer quantistico,23,Fisica (TBC),Limite fisico,13,4'14'',Algoritmi,9,4'45'',-,-,,,,,,visionario;tecnologia;innovazione;invenzioni;digitale;big data,,,img/thumbs/cmarletto-thumb.png
3,Eric Schmidt,,Y,l'internet,14-Nov,eric_schmidt/01,WPcPeQ39PgU,51o4Bc9999U,approvato da MG/export,Blu/verde,Smartphone age,14,Executive Chairman of Google (TBC),New category of devices,23,1'02'',,0,-,-,-,,,,,chiedere progetto Premiere a CB,tecnologia;innovazione;oggetti del futuro;internet;digitale,,,img/thumbs/eschmidt-thumb.png
3,Eric Schmidt,,Y,l'internet,14-Nov,eric_schmidt/02,asyD-CuWHI0,BvgORKS3Igc,approvato da MG/export,Magenta/ciano,Cyberwar & privacy,18,Executive Chairman of Google (TBC),Privacy,7,1'47'',important for citizens,22,"1'55""",-,-,,,,,chiedere progetto Premiere a CB,internet;minacce;governo;digitale,,,img/thumbs/eschmidt-thumb.png
3,Eric Schmidt,,Y,l'internet,14-Nov,eric_schmidt/03,etIiSjqGgI4,GxLxKlRWrQY,approvato da MG/export,Rosso/giallo,Smart life,10,Executive Chairman of Google (TBC),Helps you,9,3'39'',Interaction,11,3'49'',how far does that go?,-,,,,,chiedere progetto Premiere a CB,intelligente;informazione;ricerca;professioni del futuro;abitudini;ottimismo;digitale,,,img/thumbs/eschmidt-thumb.png
4,Alessandro Laterza,,,il Sud d'Italia,19-Oct,,,,standby,Blu/verde,Pasta-therapy,13,Editore,Qualità,7,0'59'',Benessere,9,1'23'',-,-,,,,,,Sud;Italia;sviluppo;professioni del futuro;ricerca;cibo;innovazione;agroalimentare,,,img/thumbs/
4,Alessandro Laterza,,,il Sud d'Italia,19-Oct,,,,standby,Magenta/ciano,Un Sud in pieno sviluppo,24,Editore,Capitale umano,14,2'44'',-,1,-,-,-,,,,,,Sud;Italia;sviluppo;industria;turismo;scuola;,,,img/thumbs/
4,Alessandro Laterza,,,il Sud d'Italia,19-Oct,,,,standby,Rosso/giallo,Chiudere il divario,19,Editore,Realtà unitaria,15,3'39'',Invertire questa tendenza,25,4'19'',-,-,,,,,,Sud;Italia;minacce,,,img/thumbs/
5,Tito Boeri,,,le pensioni,19-Oct,,0pyzVTaZZiI,SC2x6Lxk_xY,approvato da MG/export,Blu/verde,Pensioni sostenibili,20,Presidente INPS,Reagisce,8,1'12'',Rischio demografico,19,1'47'',Pensioni integrative,-,,,,,chiedere progetto Premiere a CB,anziani;governo;pensioni;welfare,,,img/thumbs/tboeri-thumb.png
5,Tito Boeri,,,le pensioni,19-Oct,,Qlx7XJrQuaw,GDL4Bc8fsqU,approvato da MG/export,Magenta/ciano,Scontro generazionale?,22,Presidente INPS,Come si invecchierà,19,3'00'',Prendere la pensione,20,4'08'',-,-,,,,,chiedere progetto Premiere a CB,anziani;giovani;pensioni;welfare,,,img/thumbs/tboeri-thumb.png
5,Tito Boeri,,,le pensioni,19-Oct,,Ue1dlZxUkCw,bVtbRotSuMA,approvato da MG/export,Rosso/giallo,"Imparare, sempre",16,Presidente INPS,Incentivi giusti,16,5'13'',Formazione continua,19,6'01'',-,-,,,,,chiedere progetto Premiere a CB,professioni del futuro;formazione;anziani;lavoro,,,img/thumbs/tboeri-thumb.png
6,Enrico Letta,,,l'Europa,25-Oct,,,,approvato da MG,Blu/verde,Europa a due cerchi,19,Politico,Istituzioni comuni,18,0'48'',Cittadini che contano,21,1'02'',-,-,,,,,fare export da Premiere,Europa;istituzioni;cittadini;,,,img/thumbs/
6,Enrico Letta,,,l'Europa,25-Oct,,,,approvato da MG,Magenta/ciano,Il senso dell'Unione,20,Politico,Valori che condividiamo,23,2'13'',Italia leader,13,3'03'',-,,,,,,fare export da Premiere,Europa;valori,,,img/thumbs/
6,Enrico Letta,,,l'Europa,25-Oct,,,,approvato da MG,Rosso/giallo,Immigrati integrati,19,Politico,Accogliere,10,3'50'',Senza discriminazioni,21,4'07'',Con le regole,-,,,,,fare export da Premiere,Europa;immigrazione;integrazione;governo,,,img/thumbs/
7,Carlo Ancelotti,Y,,il calcio,8-Nov,carlo_ancelotti/01,,,approvato da MG,Blu/verde,Calcio globale,14,Allenatore,Meno differenze,15,0'25'',Ruolo più attivo dei club,25,-,-,-,,,,,fare export da Premiere,sport;globalizzazione;calcio,,,img/thumbs/cancelotti-thumb.png
7,Carlo Ancelotti,Y,,il calcio,8-Nov,carlo_ancelotti/02,,,approvato da MG,Magenta/ciano,La statistica non fa gol,24,Allenatore,Monitorati,10,1'55'',-,1,-,-,-,,,,,fare export da Premiere,big data;sport;calcio,,,img/thumbs/cancelotti-thumb.png
7,Carlo Ancelotti,Y,,il calcio,8-Nov,carlo_ancelotti/03,,,approvato da MG,Rosso/giallo,I calciatori del 2066,21,Allenatore,Continuerà a evolversi,22,3'13'',Recupero,8,3'23',-,-,,,,,fare export da Premiere,sport;calcio,,,img/thumbs/cancelotti-thumb.png
8,Carlo Ratti,,,la città,9-Nov,carlo_ratti/01,,,approvato da MG,Blu/verde,Città e reti in movimento,25,Architetto,Il modo di vivere la città,26,0'40'',Moving web,10,1'06'',-,-,,,,,fare export da Premiere,città;urbanistica;architettura;web;innovazione;big data;digitale,,,img/thumbs/cratti-thumb.png
8,Carlo Ratti,,,la città,9-Nov,carlo_ratti/02,,,approvato da MG,Magenta/ciano,"Meno Stati, più città",21,Architetto,Legge di Zipf,13,2'05'',Forza delle città piccole,25,-,-,-,,,,,fare export da Premiere,città;Italia,,,img/thumbs/cratti-thumb.png
8,Carlo Ratti,,,la città,9-Nov,carlo_ratti/03,,,approvato da MG,Rosso/giallo,Architettura open,17,Architetto,Coesione sociale,16,3'11'',Agente mutageno,15,3'36'',-,-,,,,,fare export da Premiere,città;urbanistica;architettura;cittadini;solidarietà;coesione;professioni del futuro,,,img/thumbs/cratti-thumb.png
9,Mario Calabresi,,,i giovani,16-Nov,,_Xm_20pCzTI,PUazRaX1imU,approvato da MG/export,Blu/verde,Cittadini globali,17,Giornalista (TBC),Stesso modo di consumare,24,0'37'',Legati ai territori,19,1'13'',-,-,,,,,chiedere progetto Premiere a CB,giovani;territorio;Italia;globalizzazione,,,img/thumbs/mcalabresi-thumb.png
9,Mario Calabresi,,,i giovani,16-Nov,,nFQoU7Uzs7A,FirEEU9p6Fc,approvato da MG/export,Magenta/ciano,Impegnato,9,Giornalista (TBC),Intorno ai temi,15,1'59'',I ragazzi si alzeranno,22,2'10'',Battaglie definite,-,,,,,chiedere progetto Premiere a CB,giovani;valori;minacce;,,,img/thumbs/mcalabresi-thumb.png
9,Mario Calabresi,,,i giovani,16-Nov,,MdnYKajDa9U,8kQMhmtnDK0,approvato da MG/export,Rosso/giallo,Sharing economy,15,Giornalista (TBC),Non la proprietà,16,2'42'',Poter avere esperienze,22,2'57'',Scambiandole,-,,,,,chiedere progetto Premiere a CB,giovani;abitudini;consumi;soldi,,,img/thumbs/mcalabresi-thumb.png
10,Federico Novaro,,,i sentimenti,25-Nov,federico_novaro/01,8H7lNmoeTcE,kq8ULeZN_SM,approvato da MG/export,Blu/verde,Amore 2.0,9,Scrittore e blogger,Espressioni diverse,19,1'00'',-,1,-,-,-,,,,,chiedere progetto Premiere a CB,relazioni;giovani;social network;digitale,,,img/thumbs/fnovaro-thumb.png
10,Federico Novaro,,,i sentimenti,25-Nov,federico_novaro/02,_S_xbC5ILwo,9lkeqW-Nv-A,approvato da MG/export,Magenta/ciano,Senza vergogna,14,Scrittore e blogger,In rete i propri corpi,22,2'11'',Passaggio,9,-,-,-,,,,,chiedere progetto Premiere a CB,giovani;social network;digitale,,,img/thumbs/fnovaro-thumb.png
10,Federico Novaro,,,i sentimenti,25-Nov,federico_novaro/03,oajc8mroU7U,Esll11icuYg,approvato da MG/export,Rosso/giallo,Famiglia o famiglie?,20,Scrittore e blogger,Caducità dei sentimenti,23,3'34'',Reinventarsi,12,3'49'',-,-,,,,,chiedere progetto Premiere a CB,relazioni;famiglia,,,img/thumbs/fnovaro-thumb.png
11,Pietro Sella,,,la banca,6-Dec,,,,approvato da MG,Blu/verde,La banca quasi invisibile,25,Banchiere,Sempre con me,13,1'00'',Mio consulente,14,1'26',-,-,,,,,export,soldi;abitudini;banca;digitale,,,img/thumbs/
11,Pietro Sella,,,la banca,6-Dec,,,,approvato da MG,Magenta/ciano,Monete digitali,15,Banchiere,Identificando noi stessi,24,2'27'',-,1,-,-,-,,,,,export,soldi;abitudini;big data;digitale,,,img/thumbs/
11,Pietro Sella,,,la banca,6-Dec,,,,approvato da MG,Rosso/giallo,Soldi più sicuri,16,Banchiere,Tracciabilità,13,3'08'',Bitcoin e Blockchain,20,3'42'',-,-,,,,,export,soldi;minacce;digitale,,,img/thumbs/
12,Federico Buffa,,,lo sport,1-Dec,,XaHUFlbxQeE,LwuASvQVe5E,approvato da MG/export,Blu/verde,"Citius, altius, fortius",23,Giornalista sportivo,un'era di gigantismo,20,5'20'',lo sport del mondo,18,5'50'',-,-,,,fare export da Premiere,,,sport;ottimismo;globalizzazione;calcio;basket,,,img/thumbs/fbuffa-thumb.png
12,Federico Buffa,,,lo sport,1-Dec,,bBf5X05vR90,q_3TRI_LOL4,approvato da MG/export,Magenta/ciano,Sport unisex,12,Giornalista sportivo,il futuro dell'umanità,22,1'37'',i migliori atleti,17,1'45'',-,-,,,fare export da Premiere,,,sport;parità;donne;nuoto,,,img/thumbs/fbuffa-thumb.png
12,Federico Buffa,,,lo sport,1-Dec,,34gZGSeL4tM,MS_rR9ofgDY,approvato da MG/export,Rosso/giallo,"Campioni, non modelli",21,Giornalista sportivo,per il mondo diseredato,23,2'32'',-,1,-,-,-,,,fare export da Premiere,,,sport;giovani;povertà;modelli,,,img/thumbs/fbuffa-thumb.png
13,Martina Bagnoli,,,il museo,7-Dec,,,,approvato da MG,Blu/verde,La cultura è nostra,19,Direttrice Gallerie Estensi,una cosa di tutti,17,"0'28""",parte della propria vita,24,"0'53""",-,-,,,export,,,patrimonio;memoria;cultura;musei;identità;estero,,,img/thumbs/
13,Martina Bagnoli,,,il museo,7-Dec,,,,approvato da MG,Magenta/ciano,Il mondo nel museo,18,Direttrice Gallerie Estensi,imparare a guardare,19,1'53'',slow looking,12,2'02'',-,-,,,export,,,digitale;tecnologia;musei;cultura;arte,,,img/thumbs/
13,Martina Bagnoli,,,il museo,7-Dec,,,,approvato da MG,Rosso/giallo,Musei in rete,13,Direttrice Gallerie Estensi,costantemente rigenerato,24,"2'53""",Italia un museo diffuso,23,"3'13""",buone esperienze,"3'30""",,,export,,,turismo;cultura;patrimonio;musei;cibo;rinnovo;come ci vedono,,,img/thumbs/
14,Roberto Cingolani,,,la tecnologia,25-Nov,,,,problematico - v. con Paolo,Blu/verde,Multidisciplinare,17,Fisico (o Nanotecnologo) TBC,politica dell'innovazione,25,0'38'',competenze diverse,18,1'13'',-,-,,,fare export da Premiere,,,tecnologia;eccellenze italiane;multidisciplinarietà;soluzioni,,,img/thumbs/
14,Roberto Cingolani,,,la tecnologia,25-Nov,,,,problematico - v. con Paolo,Magenta/ciano,Welfare supertecnologico,24,Fisico (o Nanotecnologo) TBC,mantenere il sistema,20,3'53'',Italian lifestyle,17,4'38'',-,-,,,fare export da Premiere,,,welfare;tecnologia;anziani;robot,,,img/thumbs/
14,Roberto Cingolani,,,la tecnologia,25-Nov,,,,problematico - v. con Paolo,Rosso/giallo,Qualità della vita,18,Fisico (o Nanotecnologo) TBC,imbattibili,11,5'27'',politica tecnologica,20,5'45'',-,-,,,fare export da Premiere,,,tecnologia;Italia;qualità della vita;eccellenze italiane;plastica;sostenibile;robot;intelligenza artificiale,,,img/thumbs/
15,Paola Antonelli,,,il design,30-Nov,,rWMb1kIpqT4,Nd_ymFpJWh0,approvato da MG/export,Blu/verde,Design biologico,16,Curatrice MoMA New York,Bio-couture,11,1:50,-,1,-,-,-,,,fare export da Premiere,,,design;biologico;tecnologia;digitale;scienza;moda;materiali;bio,,,img/thumbs/pantonelli-thumb.png
15,Paola Antonelli,,,il design,30-Nov,,9KQK6MvnVSk,kVkZF_THViE,approvato da MG/export,Magenta/ciano,Adeguarsi al presente,21,Curatrice MoMA New York,Nuove piattaforme,17,"1'54""",primato italiano,16,"2'23""",-,-,,,fare export da Premiere,,,Italia;design;passato;digitale;biologico;come ci vedono;bio,,,img/thumbs/pantonelli-thumb.png
15,Paola Antonelli,,,il design,30-Nov,,xnps2cS-oCc,dQqdojeJUuU,approvato da MG/export,Rosso/giallo,Museo flessibile,16,Curatrice MoMA New York,Dimensione virtuale,19,3:00,Cambiare marcia,15,3:23,-,-,,,fare export da Premiere,,,musei;digitale;abitudini;robot;tecnologia,,,img/thumbs/pantonelli-thumb.png
16,"Claudia De Lillo ""Elasti""",,,i figli e i genitori,30-Nov,,NFCejtgFM8o,VnFp5gd61iU,approvato da MG/export,Blu/verde,Mamme elastiche,15,Blogger Nonsolomamma,Salti mortali,13,"0'41""",A misura di famiglia,20,"1'01""",rivoluzione,"1'46""",,,fare export da Premiere,,,famiglia;figli;donne;qualità della vita;lavoro;flessibilità;genitori,,,img/thumbs/
16,"Claudia De Lillo ""Elasti""",,,i figli e i genitori,30-Nov,,nNkuLhWH6TI,0DFjjVh6_TU,approvato da MG/export,Magenta/ciano,Papà migliori,13,Blogger Nonsolomamma,Accorgersi delle cose,21,5:40,Coinvolgimento condiviso,24,6'03'',-,-,,,fare export da Premiere,,,famiglia;figli;parità;abitudini;genitori,,,img/thumbs/
16,"Claudia De Lillo ""Elasti""",,,i figli e i genitori,30-Nov,,KA3mm_hyNx4,TiKAV0vhrUQ,approvato da MG/export,Rosso/giallo,Girl power,10,Blogger Nonsolomamma,Sognarsi onnipotenti,20,6:45,Mediazione,10,7:29,-,-,,,fare export da Premiere,,,donne;parità;lavoro;potere;modelli,,,img/thumbs/
17,Raffaele Cantone,,,l'etica,1-Dec,,,,problematico - v. con Paolo,Blu/verde,La fine dei furbi,17,Presidente Authority Anticorruzione,Educazione fiscale,18,2'43'',-,1,-,-,-,,,fare export da Premiere,,,tasse;governo;etica;legalità,,,img/thumbs/
17,Raffaele Cantone,,,l'etica,1-Dec,,,,problematico - v. con Paolo,Magenta/ciano,Trasparente,11,Presidente Authority Anticorruzione,In tempo reale,14,5'50'',-,1,-,-,-,,,fare export da Premiere,,,istituzioni;digitale;tecnologia;trasparenza;cittadini,,,img/thumbs/
17,Raffaele Cantone,,,l'etica,1-Dec,,,,problematico - v. con Paolo,Rosso/giallo,Pubblico meritocratico,22,Presidente Authority Anticorruzione,A chi merita,12,6'35'',-,1,-,-,-,,,fare export da Premiere,,,istituzioni;pubblica amministrazione;trasparenza;corruzione;meritocrazia;pubblico e privato,,,img/thumbs/
18,Maria Luisa Frisa,,,la moda,2-Dec,,05HN78qfziY,0qxLW42fVt0,approvato da MG/export,Blu/verde,Gioco fra i sessi ,18,Fashion curator,Totale libertà,14,2'25'',scena culturale,15,"1'23""",-,-,,,,,,moda;genere;globalizzazione;cultura;abitudini;donne,,,img/thumbs/
18,Maria Luisa Frisa,,,la moda,2-Dec,,ivqJOJKHmkc,J4uv9kSB6PE,approvato da MG/export,Magenta/ciano,Boutique enciclopedica,22,Fashion curator,Consultabile,12,"2'16""",ci penserà il web,17,"2'24""",-,-,,,,,,moda;abitudini;consumi;digitale;web,,,img/thumbs/
18,Maria Luisa Frisa,,,la moda,2-Dec,,fDGDCnXM9ag,bQiw7xVg1YA,approvato da MG/export,Rosso/giallo,Lavorare made in Italy,22,Fashion curator,Sano disincanto,15,8'27'',simile agli artisti,19,"4'12""",-,-,,,,,,moda;eccellenze italiane;Italia;lavoro;come ci vedono;,,,img/thumbs/
19,Chiara Tonelli,,,le biotecnologie,6-Dec,,,,approvato da MG,Blu/verde,Opportunità biotech,19,Genetista,Qualità della vita,18,0'47'',alimenti più sicuri,19,"1'02""",farmaci innovativi,"1'13""",,,export,,,bio;biotecnologia;ottimismo;ricerca;sostenibile;ambiente;salute;qualità della vita;agroalimentare;medicina,,,img/thumbs/
